source,target,weight
499,1835,2.0
499,1841,5.0
499,1842,2.0
499,1843,18.0
499,1845,3.0
499,1849,9.0
499,1851,2.0
499,1854,5.0
499,1855,2.0
499,1857,5.0
499,1858,5.0
499,1860,5.0
499,1862,5.0
499,1865,2.0
499,1867,5.0
499,1868,2.0
499,1869,9.0
499,1870,10.0
499,1871,5.0
499,1872,2.0
499,1873,2.0
499,1875,5.0
499,1877,5.0
499,1882,2.0
499,1883,5.0
499,1887,2.0
499,1888,2.0
499,1891,4.0
499,1896,4.0
499,1897,7.0
499,1900,6.0
499,1904,5.0
499,1909,6.0
499,1911,2.0
499,1913,6.0
499,1921,2.0
499,1924,4.0
499,1927,6.0
499,1928,2.0
499,1930,2.0
499,1936,6.0
499,1941,5.0
499,1943,12.0
499,1955,4.0
499,1969,5.0
499,1970,7.0
499,1972,4.0
499,1975,9.0
499,1980,4.0
499,1981,4.0
499,1982,2.0
499,1984,5.0
499,1989,2.0
499,1993,2.0
499,1994,6.0
499,1995,4.0
499,1999,4.0
499,2002,2.0
499,2005,2.0
499,2007,6.0
499,2009,12.0
499,2012,2.0
499,2013,2.0
499,2014,5.0
499,2015,2.0
499,2017,2.0
499,2019,7.0
499,2021,7.0
499,2022,4.0
499,2023,2.0
499,2026,9.0
499,2027,7.0
499,2030,5.0
499,2033,7.0
499,2034,6.0
499,2036,4.0
499,2037,5.0
499,2039,5.0
499,2042,2.0
499,2043,5.0
499,2058,2.0
499,2064,2.0
499,2066,2.0
499,2067,2.0
499,2071,4.0
499,2075,4.0
499,2076,7.0
499,2077,2.0
499,2083,5.0
499,2090,2.0
499,2091,4.0
499,2093,2.0
499,2100,5.0
499,2103,5.0
499,2105,7.0
499,2106,5.0
499,2109,2.0
499,2111,5.0
499,2112,2.0
499,2113,8.0
499,2114,5.0
499,2116,5.0
499,2117,8.0
499,2118,5.0
499,2119,7.0
499,2120,4.0
499,2122,2.0
499,2123,2.0
499,2127,4.0
499,2130,5.0
499,2134,5.0
499,2136,2.0
499,2137,5.0
499,2140,5.0
499,2141,7.0
499,2143,5.0
499,2144,2.0
499,2145,2.0
499,2148,4.0
499,2149,10.0
499,2150,6.0
499,2151,2.0
499,2152,7.0
499,2156,4.0
499,2163,2.0
499,2164,2.0
499,2165,9.0
499,2167,4.0
